"PIN","sex","age","dq_ethnicity_1","dq_ethnicity_2","dq_ethnicity_3","dq_ethnicity_4","dq_ethnicity_5","dq_ethnicity_6","dq_religion1","dq_religion2","dq_religion3","dq_religion4","dq_religion5","dq_religion6","dq_religion7","dq_religion8","dq_religion9","dq_religion10","dq_religion11","dq_religion12","dq_politics1","dq_politics2","dq_politics3","dq_politics4","dq_politics5","dq_politics6","dq_politics7","dq_age18","dq_age19","dq_age20","dq_age21","dq_age22","dq_age23_25","dq_age26","self_race1","self_race2","self_race3","self_race4","self_race5","self_race6","self_race7","self_religion","self_politics","ideal_affectionate","ideal_ambition","ideal_artistic","ideal_disposition","ideal_family","ideal_health","ideal_humor","ideal_intelligent","ideal_kind","ideal_parenting","ideal_physatt","ideal_religious","ideal_resources","ideal_sexy","ideal_status","self_affectionate_comp","self_ambition_comp","self_artistic_comp","self_disposition_comp","self_family_comp","self_health_comp","self_humor_comp","self_intelligent_comp","self_kind_comp","self_parenting_comp","self_physatt_comp","self_religious_comp","self_resources_comp","self_sexy_comp","self_status_comp"
496,0,22,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,6,5,6,7,6,7,7,4,6,4,7,4,7,5,6,8,3,7,5,4,8,5,4,5,7,6,6,3,6,5,5
267,0,25,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,12,2,5,4,4,5,6,5,6,5,6,7,7,3,8,8,5,6,5,5,6,6,6,5,7,7,8,8,0,5,9,6
324,0,23,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,12,4,7,4,6,6,4,7,6,4,5,4,8,5,5,5,6,4,5,4,4,3,4,7,5,5,6,6,6,5,5,5
442,0,24,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,9,6,6,5,8,9,8,6,7,9,6,7,7,8,6,8,6,4,5,9,6,8,7,8,7,8,6,6,8,7
419,0,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,9,6,6,7,6,4,6,6,7,6,7,5,5,4,5,6,7,7,7,5,6,6,7,6,7,7,4,7,3,4,4,8
278,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,6,8,9,6,7,7,9,8,9,10,7,8,1,8,8,9,8,9,6,6,6,8,9,8,8,5,8,2,6,6,7
253,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,4,8,8,6,9,7,8,9,9,10,9,7,5,8,10,9,9,9,9,10,7,9,9,8,10,10,10,6,7,10,10
275,0,23,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,3,4,9,5,4,7,6,4,6,4,5,6,6,6,5,5,4,4,5,3,7,5,4,5,5,6,6,6,6,6
396,0,19,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,6,6,7,4,5,5,6,8,5,6,7,8,6,4,6,7,5,6,6,5,2,5,9,6,4,7,6,3,5,5,5
274,0,18,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,4,6,6,10,9,9,7,7,8,7,8,7,7,9,7,6,6,5,7,7,9,6,7,7,8,8,8,9,5,8,6
269,0,20,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,10,10,8,9,8,9,10,10,10,7,10,6,10,9,10,10,9,7,10,7,10,10,10,10,6,10,5,10,8,10
363,0,23,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,8,10,8,8,8,6,6,6,9,9,10,5,9,8,7,6,7,7,5,4,5,5,6,7,8,7,4,6,8,6
341,0,19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,12,5,5,8,5,6,8,7,8,8,9,10,6,6,8,6,6,7,8,7,7,9,7,7,8,8,10,7,5,8,7,7
459,0,26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,8,3,6,7,5,4,3,4,5,6,4,5,4,6,1,4,3,4,6,6,4,4,5,4,5,5,6,5,4,3,5,4
